# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  230367 202.3979 11.697 97.6    6835.0 9.9    9.3   -0.6003 -20.32   9.9608  -0.6608 5.58  
  233635 202.3875 14.948 104.9   7345.0 9.09   9.36  0.2715  -18.01   9.0379  0.3221  189.53
  230371 202.4346 9.934  96.1    6726.0 10.0   9.59  -0.4119 -20.31   9.9568  -0.3668 111.35
  230372 202.4371 10.018 106.3   7442.0 9.92   9.36  -0.5643 -20.36   9.9744  -0.6144 106.27
  232407 202.4608 11.35  100.4   7027.0 9.3    9.38  0.0802  -18.6    9.272   0.108   26.74 
  8486   202.4867 11.072 100.6   7039.0 10.15  9.64  -0.5135 -20.76   10.1357 -0.4957 43.46 
  713446 202.4896 10.04  107.3   7510.0 9.35   9.25  -0.0973 -18.79   9.3471  -0.0971 105.13
  8488   202.5096 13.416 109.2   7645.0 10.87  10.11 -0.7606 -22.76   10.9363 -0.8263 97.94 
  233873 202.5575 11.544 99.5    6967.0 9.2    9.24  0.0449  -18.21   9.1141  0.1259  18.01 
  231375 202.565  7.486  104.0   7279.0 10.18  9.32  -0.8593 -21.09   10.269  -0.949  258.41
  233637 202.5887 12.484 106.9   7481.0 7.68   9.14  1.4573  -13.77   7.3402  1.7998  43.46 
  230380 202.6662 11.595 107.6   7529.0 10.21  9.48  -0.7316 -20.97   10.2202 -0.7402 20.45 
  232292 202.7658 11.027 108.9   7621.0 9.43   9.15  -0.2824 -18.93   9.4033  -0.2533 51.04 
  233638 202.8267 16.167 112.3   7862.0 9.01   9.51  0.5016  -17.81   8.956   0.554   263.97
  230389 202.8412 10.726 94.1    6590.0 9.91   9.74  -0.1745 -20.22   9.919   -0.179  69.3  
  233641 202.9517 14.276 104.0   7279.0 9.14   9.58  0.4407  -18.03   9.0449  0.5351  152.94
  233803 202.9383 9.583  104.8   7335.0 9.68   9.23  -0.4485 -19.46   9.6156  -0.3856 136.37
  230396 202.9637 14.137 112.2   7854.0 10.2   9.75  -0.4484 -21.0    10.2303 -0.4803 145.01
  232412 202.9771 11.807 103.6   7249.0 9.15   9.08  -0.0736 -18.34   9.1663  -0.0863 35.08 
  231380 203.0525 6.146  103.9   7274.0 9.99   9.77  -0.2213 -20.51   10.0371 -0.2671 340.89
