# agcnum   radeg      decdeg    vhel    sepmin    
  735239   199.1804   8.795     13184   260.6362  
  735240   199.1875   7.7683    16388   306.2722  
  735241   199.1879   7.7269    13940   308.2235  
  735243   199.1925   7.2192    15234   332.7555  
  232664   199.1925   7.6903    14656   309.8065  
  713292   199.1958   10.4817   15801   203.1898  
  232665   199.1962   7.6883    15123   309.7647  
  735244   199.2021   7.4478    15225   321.1818  
  713293   199.205    10.0172   15109   215.139   
  232666   199.2092   7.0928    11958   338.501   
  735245   199.2108   7.7275    14781   307.3694  
  735246   199.2154   7.6583    14839   310.5168  
  8345     199.2171   12.5483   945     191.0278  
  735248   199.2179   7.2597    15185   329.8932  
  232667   199.2183   7.29      14768   328.3796  
  735249   199.2313   7.7197    14875   307.0069  
  232668   199.2404   7.2192    12790   331.1577  
  8344     199.2433   7.8444    14655   300.6297  
  735250   199.2442   7.1242    14545   335.7823  
  735251   199.2471   7.7239    14577   306.2409  
  233867   199.2471   12.5647   17977   189.5533  
  735252   199.2483   7.0519    15294   339.2772  
  232483   199.25     12.8625   7611    194.4528  
  735253   199.2513   6.7725    15456   353.3856  
  713294   199.2571   9.9364    15734   214.9643  
  232669   199.26     7.1661    14321   333.1614  
  735254   199.2617   7.6531    14674   309.1313  
  232694   199.2658   6.7117    1788    356.0588  
  8350     199.2663   8.3989    7179    274.1993  
  713295   199.2738   10.8783   15873   190.7254  
  735255   199.2783   8.0019    15038   291.9189  
  713296   199.2817   9.6764    6520    222.2997  
  735256   199.2875   8.0942    14667   287.2735  
  735257   199.2908   7.1625    15906   332.3358  
  735258   199.3      7.7278    14722   304.1711  
  735259   199.3013   7.6522    14505   307.7817  
  231643   199.31     7.6803    7398    306.1151  
  232580   199.3104   13.5147   14940   207.4036  
  735260   199.3108   7.9294    13108   294.1403  
  713297   199.3154   9.4339    15585   229.3888  
  713298   199.3158   9.7567    13263   217.8982  
  232581   199.3188   13.9875   16440   222.3952  
  735261   199.3192   7.7       7058    304.8379  
  232670   199.3258   7.0389    15689   337.4571  
  232695   199.3425   6.8422    15397   346.9918  
  231644   199.3438   7.3986    14883   318.7916  
  735263   199.3492   7.6917    16370   304.1936  
  232344   199.3529   11.0733   17039   183.1207  
  230223   199.3554   9.3231    6591    231.7469  
  232696   199.3554   6.8808    17757   344.61    
  735264   199.3604   8.2028    7209    279.4876  
  735265   199.3708   7.7239    15248   301.8719  
  735266   199.3913   8.6664    10466   257.3496  
  713299   199.3942   10.6258   15560   189.0723  
  713300   199.3979   9.7511    15628   214.0971  
  232671   199.4      7.3006    13680   321.8486  
  735267   199.4046   7.6458    15462   304.5223  
  735268   199.4104   7.7711    15307   298.1971  
  232264   199.4179   13.9403   8574    216.0623  
  713301   199.42     8.2881    15428   273.2889  
  713302   199.4204   9.8147    15706   210.8276  
  232265   199.4425   15.6764   8034    289.3322  
  232697   199.445    6.6156    8784    355.716   
  735270   199.4563   7.1672    15021   326.8146  
  735271   199.4733   6.9653    12114   336.662   
  735272   199.4746   7.5283    15166   307.9913  
  232582   199.4825   13.4594   16229   197.0472  
  232609   199.4975   14.3783   9147    229.1656  
  735273   199.4996   7.5517    14462   306.0022  
  232610   199.5096   14.44     9145    231.1621  
  735274   199.525    6.8042    12030   343.5101  
  232672   199.5267   7.1272    14976   326.686   
  735275   199.5321   7.6928    14940   297.8964  
  232345   199.5354   11.7506   7359    167.1018  
  238747   199.5379   8.0853    13577   278.5225  
  232346   199.5675   11.2842   15454   168.0871  
  232583   199.5737   13.4167   14991   191.1555  
  238748   199.5825   8.0703    14956   277.6671  
  232347   199.5871   11.0564   15854   170.028   
  735276   199.5933   7.9575    13260   282.775   
  735277   199.5958   7.9764    7005    281.7655  
  735279   199.6113   7.9333    13458   283.3451  
  735280   199.6196   7.5356    15172   302.9262  
  232348   199.6254   11.6408   16159   162.075   
  232349   199.6396   11.2017   15630   164.9292  
  735281   199.6454   7.9753    13105   280.1191  
  232584   199.6487   14.0469   8542    209.45    
  231647   199.6517   8.0011    12995   278.6371  
  231336   199.6546   7.9353    13359   281.7779  
  232266   199.6558   13.1222   7614    178.5336  
  735282   199.6604   7.8556    14788   285.5316  
  230229   199.6638   8.6856    7084    245.7218  
  232484   199.6733   12.3736   11054   162.6348  
  232485   199.69     12.3392   11004   161.2542  
  232585   199.6921   13.615    16423   191.7239  
  735284   199.7021   6.9431    16049   331.1228  
  230233   199.7029   12.3969   11048   161.2449  
  713303   199.7038   8.7292    7118    242.1915  
  735285   199.7038   7.7636    15524   288.7074  
  735286   199.7054   7.9892    15020   277.4011  
  735288   199.7221   6.5886    14901   349.4415  
  713304   199.7221   8.3522    15195   259.1487  
  231337   199.73     7.7953    14884   286.2641  
  735289   199.7329   6.5617    12018   350.601   
  713305   199.7354   10.4256   14584   175.8707  
  713306   199.7367   10.0214   14629   188.4002  
  232350   199.7454   11.3728   15835   156.8534  
  735290   199.7471   15.9111   6606    291.0258  
  713307   199.7492   10.3453   16025   177.4729  
  230234   199.7579   14.7911   6643    236.4129  
  231339   199.7758   7.8311    6487    282.9799  
  233795   199.7813   9.3997    9622    209.8366  
  735291   199.7908   8.5892    7155    245.4041  
  232673   199.7975   7.4308    6619    302.8089  
  735292   199.8013   7.3472    15315   307.049   
  233625   199.8054   15.8808   8098    287.7035  
  713308   199.8108   8.2697    6742    260.0209  
  735293   199.8129   7.2033    16389   314.2514  
  230237   199.83     8.43      6498    251.5746  
  230238   199.8346   8.7619    13594   235.7023  
  735295   199.8421   6.8728    15182   330.9966  
  232351   199.8454   11.6394   15525   149.1766  
  713309   199.85     10.0161   14573   183.1043  
  713310   199.86     8.5867    6507    242.9994  
  232352   199.8617   11.0961   15780   153.8143  
  232353   199.8646   11.4361   15601   149.3409  
  713311   199.875    8.3956    14988   251.6659  
  231341   199.8758   7.4803    12441   297.916   
  742901   199.8763   16.1131   8406    297.6016  
  735296   199.8771   15.9747   6596    290.3925  
  742902   199.8775   16.7606   7160    331.8904  
  735297   199.8792   8.5136    15113   245.808   
  735298   199.8817   7.8825    13830   277.0072  
  742904   199.8867   16.6444   6936    325.4228  
  8370     199.8892   16.9864   7097    343.8022  
  713312   199.8929   10.4547   14415   166.8645  
  735299   199.8996   16.0806   8390    295.2416  
  232354   199.9017   11.6586   16124   145.8071  
  742906   199.9075   16.27     6998    304.9592  
  232586   199.9112   13.33     16373   171.6255  
  232355   199.9183   11.1131   15657   150.3273  
  230241   199.9225   11.805    16164   144.3388  
  233626   199.9242   15.7531   8510    277.5836  
  713313   199.9321   10.7142   14629   157.8171  
  713315   199.9358   10.2417   14517   171.2735  
  713314   199.9358   10.3625   14656   167.4306  
  232356   199.9358   11.6478   16031   143.8418  
  735300   199.9471   7.5492    12093   292.2325  
  735301   199.9512   7.4183    14723   298.9844  
  713316   199.9521   10.3517   14959   166.9458  
  713317   199.9575   9.7722    12136   187.1424  
  735302   199.9662   7.76      14783   280.6914  
  735303   199.9692   7.4956    14648   294.4071  
  8375     199.9846   15.8503   6972    280.8171  
  735304   199.9896   7.7647    14448   279.7477  
  715812   199.9929   7.5214    15255   292.3689  
  735305   199.9962   7.455     14783   295.7755  
  713318   200.0      10.2408   14175   168.1382  
  735306   200.0083   8.1958    15399   257.1024  
  713319   200.0154   10.3064   15021   165.2192  
  232267   200.0162   14.8008   6835    227.3986  
  713320   200.0237   9.0442    14192   215.5105  
  715813   200.0262   7.0589    14951   316.1187  
  230245   200.0287   14.5431   3634    214.8918  
  230246   200.0287   15.8981   6917    282.0432  
  232268   200.0421   15.4053   6595    256.2642  
  232357   200.0446   11.8958   15516   137.2935  
  735307   200.0462   7.6011    15176   286.6505  
  735308   200.0525   8.2233    13054   254.2974  
  735309   200.0537   7.7886    15532   276.6043  
  735310   200.0567   7.9078    6500    270.3245  
  713321   200.0708   10.2375   14361   164.79    
  713322   200.0779   9.0444    14286   213.4494  
  735311   200.0783   8.1806    15016   255.6496  
  8379     200.0846   6.3361    11933   354.2736  
  715814   200.1071   7.8489    12005   271.8946  
  735313   200.1117   7.55      15797   287.5219  
  8383     200.1158   14.5339   8624    211.2494  
  715815   200.1158   6.53      15623   342.8192  
  231651   200.1312   7.5403    15192   287.5014  
  232486   200.1375   12.8231   7475    145.3726  
  713323   200.145    8.7767    9943    223.7501  
  232269   200.1583   14.5925   8843    212.4673  
  8385     200.1587   9.7872    1133    177.6464  
  232487   200.1742   12.5922   7626    138.0585  
  713324   200.1892   9.0089    9717    211.0197  
  232270   200.19     15.2589   6895    244.2748  
  735314   200.1988   8.0483    12116   258.7983  
  233628   200.1996   13.6361   6808    169.0342  
  232488   200.2046   12.3153   11333   131.5016  
  232633   200.2062   15.3797   17720   249.9841  
  232587   200.2154   13.1008   16014   149.2729  
  715816   200.2208   7.1875    12119   304.1886  
  735315   200.2283   8.0619    11750   257.2206  
  713325   200.2296   10.2631   12270   156.2561  
