agcnum      ra     dec    
113946   26.2621  30.61222
110511   26.3375  34.26222
115622   26.3687  36.00861
110837   26.4075  33.93972
114056   26.5050  28.01028
111473   26.5413  28.81611
113857   26.5958  25.35889
110521   26.6146  34.92722
114123A  26.6317  28.93028
113828   26.6571  25.19444
114057   26.6763  29.06333
113829   26.6938  25.53305
110525   26.7358  34.77195
110839   26.8892  36.07583
110530   26.9317  35.02306
113947   27.0500  29.86056
115633   27.0621  35.28833
113948   27.0850  31.88250
110840   27.0929  33.84472
110534B  27.1471  27.55667
114058A  27.1546  28.64305
114059   27.1717  28.77667
113756   27.1929  27.28889
114060   27.2233  28.93889
110543   27.3337  27.71222
113949   27.4108  30.68083
113950   27.4504  31.74361
113298   27.4904  26.68305
110555   27.6121  21.88056
115601   27.6729  34.74167
115634   27.8775  35.78639
115623   27.9192  35.56972
112524   27.9700  27.75694
110579   28.0112  36.13028
113953   28.0383  31.52555
114061   28.2013  29.33833
111802   28.2921  20.67306
113955   28.3463  31.38944
115635   28.3575  34.00167
113957   28.3875  29.81417
114062   28.4529  28.59056
113832   28.4575  24.57278
113305   28.4625  26.26306
114063   28.4833  28.83028
113958   28.5688  30.86972
113959   28.5704  31.22806
113962   28.6979  31.83722
115602   28.8454  34.26445
114064A  28.9992  29.83250
114065   29.0104  29.80778
110810   29.0775  31.42056
113299   29.1050  27.68583
113835   29.1196  24.97917
110659   29.1663  35.59222
110661   29.2017  35.99639
113967   29.2533  31.41444
115626   29.2871  35.81528
113993   29.3600  30.87083
110841   29.4508  33.91584
115627   29.4921  34.00195
113301   29.5596  27.88250
114124   29.6900  24.50917
115628   29.7313  35.37055
113969   29.8613  30.72750
115629   29.8988  34.93084
113972   29.9796  30.80778
113836   29.9854  24.97583
115630   29.9963  35.87250
123235   30.0579  25.88861
122954   30.0896  31.97306
112474B  30.1804  28.18278
122956   30.2721  31.75361
123117   30.3604  28.73417
124784   30.4454  34.79361
123118   30.4579  29.44639
122959   30.5638  31.54750
110849   30.6429  34.58611
122180   30.7700  27.20611
123070   30.8104  31.42111
122791   30.8700  26.69722
122926   30.9267  25.27028
123071   30.9396  29.98917
122182   30.9929  26.26972
123216   31.1779  28.80583
122861   31.2829  24.97083
122961   31.4633  32.19111
122185   31.5017  27.35861
122793   31.5467  27.86139
123845   31.7258  23.36000
123073   31.8333  31.94944
120043   31.8558  32.95195
124787   31.9050  34.85222
122863   31.9837  25.61417
123121   32.0254  28.77917
122864   32.0879  24.93555
123122   32.1017  29.04556
123123   32.1900  29.69833
123124   32.2008  29.29667
121107   32.2488  34.22500
124788   32.3046  35.69778
122965   32.3304  30.45222
122966   32.3708  31.85278
123182   32.4196  28.92611
122967A  32.5133  31.86972
122968   32.6067  31.10889
120076B  32.7008  34.97028
123125   32.7200  28.56944
123126   32.7767  29.36667
123128   32.7933  28.26861
124790   32.7946  34.18806
124791   32.8175  34.32861
124644   32.8504  35.07972
122865   32.8758  25.34778
122866   32.8817  24.21500
123103   32.9404  31.19500
122970   32.9688  30.54889
122794   32.9783  26.12611
124792   33.0358  36.06667
123186   33.0650  28.40694
123129   33.1538  28.84250
121278   33.2300  21.03667
122911   33.2713  25.37722
122188   33.2800  27.77972
122795   33.3237  27.84972
122973   33.3946  31.29944
121121   33.4196  33.78639
122974   33.4358  31.37556
122975   33.4704  31.47972
124793   33.5192  34.38972
122976   33.5579  31.44056
122151   33.6717  35.82222
122978   33.7588  31.19944
122190   33.7837  26.38667
124794   33.8033  34.11666
124795   33.8521  36.12611
122867   33.8804  25.04333
122981   34.0233  31.06028
122982   34.0254  30.04972
123082   34.0383  32.15917
122983   34.0475  31.07167
124796   34.0762  34.91195
122913   34.0771  25.43833
123132   34.1637  28.67278
122191   34.1654  26.13778
124797   34.1887  35.17667
122984   34.1958  31.55528
123239   34.2108  29.32556
122396   34.2533  30.70194
123104   34.3525  31.99000
123220   34.3771  29.49333
124801   34.3837  36.03528
122985   34.4229  31.20000
124803   34.4329  34.54583
123085   34.4958  30.90583
122986   34.5183  32.03361
123133   34.5625  29.93694
122451   34.5946  24.53528
122987   34.5992  31.78472
123857   34.6637  23.49667
124805   34.6875  35.09389
124806   34.7946  35.49917
123191   34.8604  29.70861
124807   34.9400  33.89250
123134   34.9608  29.16333
122933   34.9675  24.29722
123135   35.0458  29.55417
122990   35.1312  30.28806
123136   35.1875  28.80028
122797   35.2042  25.98389
123138   35.2417  29.78167
122192   35.2642  27.75639
123139A  35.2663  29.40111
124912   35.2717  33.34055
123140   35.3083  29.63833
123141   35.3508  28.82778
123863   35.3867  23.19833
122798   35.5779  25.87750
123864   35.5958  23.81889
122992   35.6338  31.14194
122799   35.6388  27.24444
123142   35.7908  28.68444
123143   35.8004  28.45667
123088   35.8196  32.13806
122995   35.9058  30.23833
123089   35.9471  30.31250
122800   35.9613  26.49389
124816   35.9892  34.69361
122197   36.0363  26.66611
122997   36.0483  31.37222
122801   36.0546  27.91917
122869   36.1462  24.28222
122870   36.1892  25.22417
124818   36.2300  35.29222
124817   36.2329  35.41417
122998   36.2475  31.95889
122999   36.2742  31.38194
122871   36.2933  24.82833
123000   36.3288  31.17417
122802   36.3342  27.16000
123001   36.3529  31.60667
123002   36.3658  31.46806
123105   36.4063  31.64750
123004   36.4113  31.38889
123148   36.4292  28.67611
123007   36.4517  30.85361
122803   36.4762  27.01556
123090   36.4854  30.43417
122874   36.5613  24.43389
123008   36.5925  30.83111
122804   36.5946  26.13833
123009   36.6158  32.06166
123092   36.6504  32.12472
123010   36.6575  30.75083
122875   36.6904  24.67167
122399   36.7104  29.45889
123011   36.7417  32.06472
122805   36.7471  26.96417
123012   36.7571  31.17583
123013   36.7929  30.23917
122876   36.8117  24.10833
120258   36.8229  33.32944
124640   36.8350  33.95611
123015   36.8488  31.90778
123240   36.8704  27.15306
122877   36.8829  24.87000
122199   36.9113  26.91194
123150   36.9358  28.40417
122879   36.9650  24.26000
123151   37.0013  29.17583
122880   37.0071  25.52528
123016   37.0192  31.02944
123154   37.2417  29.53972
123019   37.2433  31.19667
122806   37.2492  26.54472
122202   37.2571  26.08000
123155   37.3179  28.74361
122203   37.3342  27.35472
123156   37.4175  28.01972
124781   37.4204  34.05278
123158   37.5267  28.67444
123021   37.6642  30.07000
123196   37.6733  28.33528
124044   37.7279  23.07333
122882   37.7287  24.98083
123093   37.7787  30.88417
124824   37.8271  34.25028
122207   37.8417  26.19722
122400   37.8421  25.71167
123022   37.8542  31.99333
122210   37.8875  26.79694
122211   37.9038  26.54222
123876   37.9129  22.74639
123023   37.9396  31.01889
123159   37.9583  29.71639
124825   37.9783  36.14750
122440A  37.9842  26.16722
123197   38.0496  28.81500
124827   38.0671  35.87472
124826   38.0762  34.90472
123160   38.0921  29.68833
124828   38.1550  34.10028
124829   38.1625  36.01389
123162   38.1658  29.43917
123163A  38.1942  28.55305
123024   38.2046  31.71417
123198   38.2375  28.34556
120327   38.2862  35.02722
123025   38.3100  29.88361
123164   38.3662  29.66028
122217   38.3842  27.02056
123027   38.4462  30.06556
124830   38.4504  35.78639
124831   38.4600  35.30361
123094   38.4817  30.71250
123889   38.5921  23.10139
122026   38.6279  22.58083
123029   38.6387  31.51556
120358   38.6842  34.49778
123030   38.6992  31.92194
122418   38.7483  27.22250
122886   38.7508  24.65805
123032   38.7912  30.30778
122218   38.8138  28.01972
123033   38.8250  32.10639
124832   38.8317  35.19500
123034   38.8408  31.84945
122887   38.8417  25.54472
123095   38.8504  31.60000
124833   38.9513  36.02889
124834   38.9679  35.58972
124837   39.0433  36.08444
121325   39.1400  35.12444
122945   39.2575  25.55111
123038   39.3133  31.75972
123039   39.3350  31.43250
123040   39.3775  31.64583
123041   39.3804  31.38389
124645   39.3829  34.04278
123042   39.4075  32.00222
122397A  39.5262  30.67139
124839   39.5458  33.93945
121174   39.5683  29.90639
124843   39.6804  34.62806
122420   39.7083  27.36556
124844   39.8075  36.05583
123043   39.8217  31.73667
122790   39.9658  30.27167
124845   40.0625  35.83528
120420   40.1700  35.31000
123902   40.1750  22.63194
123044   40.1779  32.13917
122219   40.2317  26.66722
123046   40.3013  31.49139
124846   40.3071  34.35167
124847   40.3104  35.80028
123903   40.3279  23.26833
122890   40.3338  24.27028
123047   40.4492  31.45722
122892   40.4821  24.93611
124850   40.5167  35.43528
122893   40.5267  24.68667
123169   40.5750  29.67667
122139   40.8671  20.59556
123250   40.9171  23.09000
123048   40.9517  31.33528
123170   41.0133  29.28806
123050B  41.0867  31.34111
122422   41.0988  27.64278
124854   41.1100  36.02555
121819   41.2671  32.16111
122424   41.2796  25.93611
124856   41.3079  35.66584
124857   41.3596  36.16778
124859   41.4596  35.82944
122425   41.4663  28.14806
124861   41.4854  35.10694
122895   41.5588  24.83667
123171   41.7108  28.80639
122947   41.7242  24.30111
122896   41.7629  25.73889
124863   41.7875  34.25000
121355   41.7925  21.98778
123172   41.8450  29.17555
123906   41.8975  21.89889
123907   41.9117  22.56083
123908   41.9712  21.84389
124646   41.9862  34.58167
123909   41.9967  23.53889
122426   42.0008  28.12500
122898   42.1412  24.45361
123174   42.1904  29.02695
122899   42.2513  24.37306
123913   42.2987  21.99000
124609   42.3683  34.74139
121100   42.4117  34.03917
124050   42.4487  23.48445
123175   42.5833  29.51306
122900   42.6138  24.30944
123055   42.7233  30.26111
124614   42.7971  35.98944
123057   42.9229  32.10278
125147   42.9404  21.82917
122224   42.9587  26.05278
122902   43.0121  24.92194
122903   43.2633  25.32417
123222A  43.3042  28.50250
123059   43.3312  31.90944
124608   43.4396  35.65139
123060   43.4654  30.03528
122430   43.5746  25.94056
123914   43.6775  23.37722
123061   44.0225  31.28750
121023   44.0337  27.70111
122432   44.0538  26.46889
121385   44.2733  20.01194
123176   44.3800  28.26361
124056   44.4017  23.78917
122807   44.4250  26.27722
123177   44.4429  28.84472
123064   44.6400  32.14361
123101   44.7262  30.56750
122906   44.7717  24.08361
123213   44.8138  28.54944
123102   44.9517  30.31055
123179   44.9942  29.20500
123065   44.9971  30.98667
124639   45.0208  21.41611
131373   45.0563  25.05333
131374   45.1108  24.21972
131358   45.1237  26.84806
131396   45.1688  29.00444
131359   45.1846  27.22333
123915   45.2400  22.65111
131378   45.3496  32.01667
131370   45.4150  25.73750
131363   45.4871  28.02139
121048   45.5187  25.79028
131380   45.5646  30.52167
131375   45.6471  24.83556
131381   45.9525  31.88111
131364   45.9608  27.98694
130486   46.0029  20.56083
131382   46.0104  31.86250
132242   46.0450  35.04417
132251   46.3283  34.72972
131384   46.4979  31.00667
131385   46.8208  30.59500
131387   47.0121  30.20806
131389   47.0863  30.70750
131390   47.1663  30.18389
130496   47.2613  20.18083
131392   47.3862  31.19083
311325  325.7083  32.68611
311318  325.8325  36.06445
311347  327.0467  35.89750
311319  327.2166  34.87666
310858  327.6679  28.59083
310844  328.9733  31.82722
311320  329.1167  35.19944
310847  329.4217  31.34250
310859  329.6804  28.75417
310850  329.8354  32.04889
311323  329.9217  34.20000
321195  330.1658  27.33889
321405  330.2562  31.40750
322669  330.3712  34.53889
322670  330.5216  36.06389
321304  330.9629  25.44222
321938  331.1196  23.32056
322641  331.3983  33.96472
321467  331.5271  28.77972
320941  331.9625  24.83250
321315  332.1758  24.94000
321408  332.4458  30.39305
321409  332.5517  30.44389
321305  332.5933  24.72750
321410B 332.8900  30.90333
321201  332.8979  26.04222
321306  332.9070  25.72944
321411  333.0800  31.89111
321203  333.2633  28.07222
321204  333.2758  25.91556
322671  333.4088  35.70111
321307  333.5196  25.68111
321468  333.6563  28.86472
321412  333.6717  31.93667
321205  333.7329  26.95778
322485  333.7562  35.30222
321413  333.7988  30.51805
322672  333.9804  35.95889
321469  334.0404  28.26889
321470  334.0483  28.78806
