#  This table contains all galaxies in the DR7 spectroscopic sample
#
#  IG = 1 for MKW12=Zw1400   2 for background group in same field   otherwise 0
#   T = code for morphological type based on RC3 (20 means not assigned)
# Sep = angular separation from center of MKW12 in degrees
# rmag = rband petrosian magnitude
# rmagc = corrected rband magnitude (for galactic and internal extinction)
# Absmag = Absoluted rband magnitude
# Log L = log of r band luminosity (solar units)
# Log * = log of stellar mass (solar units)
# (u-r)c = corrected color index (u-r)
# disp = velocity dispersion of Halpha line in km/s (over 3 arcsec fiber aperture!0
# EW(Halpha) in Angstroms.
# L(Halpha) in erg/sec (I am not yet happy with this)
# SFR: star formation rate in solar masses per year calculated from EW Halpha and Fcont (I am not yet happy with this)
# Dlin = linear diameter in kpc
# LogMHI = log HI mass (solar units)
# WidC = Corrected HI width (= 2X Vrot)
# LogMdyn = log dynamical mass (solar units)
# AGCnr   RA       Dec      Vcmb   Dist   IG  T    Sep   b/a     incl     rmag  rmagc Absmag  log L  Log *  (u-r)c  disp  EW(Ha)  L(Halpha)  logSFR  Dlin  logMHI  Widc  LogMdyn
231119  209.584    7.224    7543.  107.8  0   3    2.38  0.532   59.8    14.25  13.86 -21.31  10.39  10.55   1.83  119.9    0.0   0.000E+00  -9.990  21.66   9.34   84.5  12.46
  8890  209.593    6.339    4559.   65.1  0   0    3.19  0.631   52.4    13.35  13.07 -21.00  10.27  10.66   2.17    0.0    0.0   0.000E+00  -9.990  12.78   9.16  483.7  13.53
232635  209.595    9.534   16785.  239.8  0   3    1.11  0.865   30.8    16.05  15.96 -20.94  10.25  10.43   1.69   85.5    8.3   0.727E+42   0.581  19.72  10.22  611.2  14.49
  8891  209.603    6.070    5473.   78.2  0   4    3.44  0.152   90.0    13.77  12.61 -21.86  10.62  10.55   1.26   97.1   11.7   0.414E+43   1.337  24.35   9.98  361.0  13.63
233568  209.606   10.340    7035.  100.5  0   3    1.48  0.599   54.8    16.45  16.29 -18.72   9.36   9.47   1.65   77.9   12.5   0.240E+42   0.100  13.01   9.46  341.4  13.42
232636  209.607    9.061   16934.  241.9  0   3    1.11  0.790   38.7    15.40  15.25 -21.67  10.54  10.76   1.62   94.8    9.8   0.206E+43   1.033  23.08  10.00  273.3  13.86
  8896  209.661    7.216    4663.   66.6  0   3    2.35  0.157   90.0    14.30  13.16 -20.96  10.26  10.07   0.78   73.9   17.3   0.137E+43   0.857  17.17   9.73  288.0  13.22
238647  209.685    6.628    7556.  107.9  0   3    2.88  0.371   71.4    17.20  16.90 -18.27   9.18   9.30   1.38   75.2    6.7   0.290E+41  -0.818   5.53   9.62  200.5  12.62
231120  209.740    7.254    7654.  109.3  0   5    2.28  0.302   73.8    15.54  14.88 -20.31  10.00   9.57   0.69   71.2   48.6   0.258E+43   1.132  18.15   9.92  248.9  13.33
233569  209.795   10.213    6973.   98.4  2   3    1.26  0.582   56.1    17.54  17.37 -17.59   8.91   8.95   1.89   72.0   13.0   0.461E+41  -0.616   9.63   9.48  162.7  12.64
230898  209.835   10.139    6910.   98.4  2   3    1.18  0.914   24.5    14.16  14.10 -20.86  10.22  10.40   1.61   79.4   14.4   0.156E+43   0.913  12.82   9.36  224.6  13.04
238625  209.938    8.141    4858.   69.4  0   0    1.41  0.341   73.6    15.38  14.99 -19.22   9.56   9.76   1.52   72.5   34.6   0.299E+42   0.196   7.48   9.22  175.1  12.44
233570  209.950   11.326    5279.   75.4  0   3    2.13  0.594   55.2    15.99  15.83 -18.56   9.30   9.25   1.03   77.7   32.6   0.342E+42   0.255   9.09   9.23  203.4  12.69
233924  209.952   10.687   11711.  167.3  0   3    1.54  0.481   63.5    15.46  15.01 -21.11  10.32  10.50   1.53  106.2   45.8   0.162E+43   0.930  11.73   9.75  249.2  13.32
238649  209.960    9.107   16893.  241.3  0   2    0.76  0.226   83.8    16.78  15.87 -21.05  10.29   9.93   1.19   80.8   12.2   0.529E+42   0.444  27.16  10.25  320.9  14.07
230912  209.980   12.055   11915.  170.2  0   3    2.82  0.689   47.7    15.52  15.29 -20.86  10.22  10.17   1.18   83.1   23.0   0.124E+43   0.813  14.70  10.02  308.2  13.62
243884  210.001    7.764    4807.   68.7  0   3    1.71  0.470   64.3    17.22  16.99 -17.20   8.75   8.95   1.20  343.8    3.2   0.345E+40  -1.742   9.29   9.27  106.6  12.10
230914  210.018   12.111   12108.  173.0  0   0    2.86  0.460   65.0    13.90  13.28 -22.91  11.04  11.28   1.93  301.0   -1.4   0.000E+00  -9.990  35.11  10.44  640.0  14.63
243859  210.021    9.312    6359.   83.7  1  10    0.67  0.710   46.0    18.84  18.73 -15.88   8.22   8.21   0.84    0.0    0.0   0.000E+00  -9.990   6.35   9.04  118.3  12.11
249086  210.022    8.170    7285.   98.4  2   3    1.34  0.303   76.6    17.27  16.90 -18.06   9.10   8.95   0.78   70.2   45.6   0.138E+42  -0.139   6.56   9.19  154.2  12.43
242402  210.046    9.907   16818.  240.3  0   3    0.87  0.590   55.5    15.67  15.35 -21.56  10.49  10.64   1.56    0.0    0.0   0.000E+00  -9.990  21.79  10.05  235.4  13.70
  8918  210.060    8.967    4361.   62.3  0   3    0.73  0.279   78.6    14.12  13.34 -20.64  10.13  10.18   1.71   77.0   10.0   0.818E+42   0.633  13.48   9.73  309.2  13.14
230917  210.067    9.289    6090.   83.7  1   3    0.63  0.252   81.0    15.12  14.38 -20.24   9.97  10.02   1.31   72.6   11.7   0.459E+42   0.382  11.29   9.21  255.1  13.03
243818  210.088    9.958    7108.   98.4  2   3    0.87  0.268   79.5    16.40  16.00 -18.97   9.46   9.28   0.75   72.7   37.8   0.448E+42   0.372  10.92   9.61  206.5  12.90
230925  210.129    8.650    4832.   69.0  0   5    0.88  0.158   84.1    15.83  15.26 -18.93   9.44   9.19   0.71    0.0    0.0   0.000E+00  -9.990  12.26   9.47  181.0  12.68
243904  210.130   12.081   11798.  168.5  0   3    2.81  0.565   57.4    16.62  16.32 -19.82   9.80   9.97   1.56  115.6   38.8   0.325E+42   0.232   9.98   9.94  442.9  13.76
242246  210.137    8.994    4419.   63.1  0  10    0.65  0.483   63.3    17.56  17.34 -16.66   8.54   8.62   0.94   76.8    9.3   0.171E+41  -1.046   7.75   8.93  113.0  12.03
249087  210.161    7.215   11214.  160.2  0   4    2.18  0.874   29.7    15.76  15.68 -20.34  10.01  10.06   1.66   74.8   16.2   0.108E+43   0.752  19.57   9.90  114.9  12.86
249088  210.170    8.894    5629.   83.7  1   3    0.68  0.220   84.6    17.28  16.81 -17.80   8.99   8.80   0.57   78.3    9.1   0.254E+41  -0.876   7.69   9.14  220.0  12.73
243828  210.197    9.560    5335.   76.2  0   6    0.55  0.686   47.1    17.30  17.18 -17.23   8.76   8.71   0.82   81.0    7.7   0.319E+41  -0.776  10.29   8.99   83.2  11.97
231599  210.218    6.486    4591.   65.6  0   3    2.88  0.454   65.4    15.21  14.92 -19.16   9.54   9.49   1.05   76.6   26.4   0.463E+42   0.386  11.11   9.58  236.4  12.85
249089  210.219    7.840    5512.   78.7  0   3    1.56  0.437   66.6    15.95  15.70 -18.78   9.39   9.29   1.34   71.4   27.4   0.332E+42   0.241   9.74   9.12  148.1  12.46
249091  210.226    7.422    7377.  105.4  0   4    1.97  0.136   90.0    16.51  15.91 -19.20   9.55   9.40   1.36   68.3   13.2   0.162E+42  -0.071  13.47   9.39  185.0  12.93
249090  210.236    9.864    6525.   83.7  1   3    0.70  0.855   32.0    16.48  16.43 -18.18   9.14   9.17   1.20   72.7   12.8   0.799E+41  -0.377   5.72   9.03  292.8  12.85
248868  210.246   12.110    7199.  102.8  0   3    2.82  0.728   44.4    17.23  17.13 -17.93   9.04   9.05   1.10   77.9   17.7   0.431E+41  -0.646   5.91   9.25  168.6  12.48
242168  210.274    9.106    5693.   83.7  1   6    0.48  0.431   65.4    17.60  17.34 -17.27   8.78   8.45   1.06   74.8   70.8   0.188E+42  -0.006  12.72   9.30  106.7  12.32
231601  210.287    8.583    5124.   73.2  0   1    0.85  0.371   71.4    14.07  13.46 -20.87  10.22  10.54   1.98  236.4   -0.7   0.000E+00  -9.990   6.42   9.29  422.0  13.16
  8928  210.290    7.702    7171.  102.4  0   3    1.68  0.925   22.8    14.06  14.01 -21.04  10.29  10.31   1.53   74.3   20.0   0.649E+43   1.532  20.49  10.04  260.4  13.39
  8927  210.294    7.482    7364.  105.2  0   4    1.89  0.361   72.1    14.73  14.10 -21.01  10.28  10.29   2.52    0.0    0.0   0.000E+00  -9.990  24.24   9.70  302.6  13.61
230939  210.325   10.119    7124.   98.4  2   4    0.87  0.750   42.5    14.61  14.43 -20.53  10.08  10.28   1.67   86.0   24.0   0.261E+43   1.137  15.27   9.86  371.8  13.56
  8934  210.341   10.481   10511.  150.2  0   5    1.20  0.505   60.4    14.76  14.34 -21.55  10.49  10.55   1.54   77.9    3.6   0.157E+43   0.916  27.57  10.16  394.5  14.05
230946  210.371    9.154    5219.   74.6  0   3    0.37  0.450   65.7    15.74  15.50 -18.87   9.42   9.53   1.34   70.9   17.0   0.128E+42  -0.172   5.32   9.24  158.0  12.23
249092  210.418    7.997    5724.   81.8  0  10    1.36  0.415   68.2    17.16  16.89 -17.68   8.94   9.03   1.58   71.2    7.7   0.314E+41  -0.783   9.32   9.02   66.8  11.77
  8938  210.442    9.490    6522.   83.7  1   3    0.30  0.483   63.3    13.36  12.92 -21.70  10.55  10.89   2.66  113.0    0.3   0.220E+42   0.063  24.49   9.89  386.0  13.72
230954  210.457    9.654    6692.   98.4  2   5    0.40  0.245   77.6    16.59  16.16 -18.80   9.39   9.15   0.82   71.0   20.3   0.211E+42   0.044  12.79   9.45  178.2  12.84
230955  210.467    8.786    6333.   83.7  1   3    0.59  0.848   32.7    13.81  13.71 -20.91  10.23  10.28   1.32   95.8   -2.1   0.000E+00  -9.990  13.14   9.74  314.3  13.27
249093  210.476   11.787   11879.  169.7  0   3    2.47  0.362   72.1    15.51  14.88 -21.27  10.38  10.42   1.26   89.5    7.5   0.528E+42   0.443  17.56  10.18  356.3  13.82
  8940  210.497    8.937    6096.   83.7  1  -5    0.44  0.627   52.7    13.07  12.75 -21.86  10.62  11.04   2.43 1662.7    1.6   0.489E+42   0.409  18.33   9.10  406.2  13.64
249094  210.500   10.830    4197.   60.0  0   3    1.51  0.469   64.3    15.43  15.19 -18.70   9.35   9.49   1.42   75.5   77.5   0.511E+42   0.428   4.99   8.71  135.3  11.98
231067  210.512    9.964   11461.  163.7  0  -2    0.66  0.521   60.6    15.64  15.24 -20.83  10.20  10.32   1.41  108.2    4.4   0.167E+42  -0.058  17.02   9.84  358.1  13.79
  8942  210.515    9.929    4540.   64.9  0   3    0.63  0.592   55.3    13.24  12.92 -21.14  10.33  10.27   1.07   79.6   51.0   0.515E+43   1.432  10.64   9.79  322.2  13.09
230964  210.528    9.060    6063.   83.7  1   5    0.32  0.890   27.3    15.40  15.35 -19.26   9.58   9.77   1.69    0.0    0.0   0.000E+00  -9.990  14.27   9.07  209.0  12.96
230966  210.533    9.567    5933.   83.7  1   3    0.29  0.479   63.6    15.61  15.32 -19.30   9.59   9.62   1.31   77.7   33.4   0.754E+42   0.598   9.28   9.06  133.9  12.38
243835  210.534   11.118    6296.   89.9  0   7    1.79  0.688   47.0    19.33  19.22 -15.55   8.09   8.98   1.83    0.0    0.0   0.000E+00  -9.990   4.78   9.20   79.3  11.67
  8944  210.547    9.440    6497.   83.7  1   5    0.19  0.697   46.2    13.12  12.89 -21.73  10.56  10.79   1.86  119.1   13.7   0.543E+43   1.455  19.18   9.79  470.7  13.79
249095  210.554    8.087    5492.   78.5  0  10    1.25  0.565   57.4    20.38  20.20 -14.28   7.58   7.28   1.61    0.0    0.0   0.000E+00  -9.990   4.39   8.89   76.0  11.54
  8943  210.555    8.037    5193.   74.2  0   1    1.30  0.577   56.5    12.36  11.93 -22.42  10.84  11.26   2.48  300.4   -0.5   0.000E+00  -9.990  19.97   9.34  802.6  14.22
249096  210.573    9.565    7010.   98.4  2   6    0.27  0.605   53.3    18.16  18.01 -16.96   8.65   8.68   0.72    0.0    0.0   0.000E+00  -9.990   9.87   9.22  159.6  12.63
  8946  210.573    7.684    4851.   69.3  0   3    1.65  0.469   64.3    13.24  12.77 -21.43  10.44  10.67   2.18  115.9   40.3   0.421E+43   1.344  17.44   9.35  348.3  13.41
249097  210.588    7.890    5763.   82.3  0   3    1.44  0.250   81.2    16.26  15.83 -18.74   9.37   9.25   0.87   76.7   27.0   0.323E+42   0.230  12.37   9.35  133.6  12.50
243837  210.596   11.514    6055.   86.5  0   6    2.19  0.637   50.9    17.77  17.63 -17.05   8.69   8.72   0.95    0.0    0.0   0.000E+00  -9.990   9.21   9.07  118.5  12.29
249098  210.608    9.919   16867.  241.0  0   6    0.60  0.388   68.2    17.03  16.44 -20.47  10.06   9.99   0.61    0.0    0.0   0.000E+00  -9.990  25.26  10.17  240.2  13.78
230970  210.608   10.406   10481.  149.7  0   3    1.08  0.373   71.3    14.20  13.51 -22.37  10.82  11.11   1.86  162.3   15.3   0.327E+43   1.235  29.64   9.88  477.3  14.24
243841  210.624   10.708    4447.   63.5  0   3    1.38  0.647   51.1    16.30  16.16 -17.85   9.01   8.80   0.74   76.5   42.5   0.732E+41  -0.415   3.15   9.04   98.9  11.53
  8948  210.637    9.079    6274.   83.7  1   3    0.26  0.395   69.7    13.95  13.38 -21.24  10.37  10.37   1.59   83.0    6.3   0.140E+43   0.866  18.28  10.00  376.5  13.58
240003  210.648    9.119    6005.   83.7  1   4    0.22  0.226   83.8    15.77  15.23 -19.38   9.63   9.85   1.44   79.0    2.4   0.420E+41  -0.657  16.13   9.84  482.8  13.74
243817  210.658   10.517   11490.  164.1  0   3    1.19  0.240   82.2    15.94  15.06 -21.02  10.28  10.16   1.12   76.4    8.1   0.468E+42   0.390  19.03  10.04  358.3  13.84
241325  210.670    9.279    5900.   83.7  1  10    0.06  0.369   71.6    17.28  16.97 -17.64   8.93   8.76   0.68   71.0   90.8   0.301E+42   0.199   8.58   9.15  113.9  12.21
  8950  210.676    9.164    6123.   83.7  1   5    0.17  0.136   86.3    16.00  15.40 -19.22   9.56   9.36   1.16   81.0   43.0   0.657E+42   0.537  17.21   9.59  193.4  12.97
241923  210.681    9.991    6071.   83.7  1   3    0.66  0.870   30.2    17.19  17.15 -17.46   8.86   8.83   1.09   73.4   21.7   0.710E+41  -0.428  11.63   9.26  170.9  12.69
  8951  210.712    8.779    6128.   83.7  1   5    0.55  0.237   78.1    15.24  14.53 -20.08   9.90   9.79   1.05   81.8   10.1   0.596E+42   0.495  17.86   9.59  252.4  13.22
  8956  210.732    9.420    6255.   83.7  1  -2    0.10  0.787   39.0    12.89  12.71 -21.90  10.63  11.13   2.72    0.0    0.0   0.000E+00  -9.990  19.59   9.45  670.2  14.11
249099  210.738    7.093    7302.  104.3  0   6    2.24  0.562   56.4    18.40  18.23 -16.87   8.62   8.52   1.28    0.0    0.0   0.000E+00  -9.990   9.05   9.00   51.6  11.64
249100  210.741   10.620   11562.  165.2  0   6    1.29  0.542   57.8    16.78  16.49 -19.60   9.71   9.48   1.69    0.0    0.0   0.000E+00  -9.990  19.54   9.94  197.3  13.34
241327  210.746    9.471    6948.   98.4  2   6    0.15  0.386   68.3    16.34  16.05 -18.92   9.44   9.43   1.07   77.4   11.9   0.218E+42   0.058  12.45   9.39  143.1  12.64
243860  210.753    9.049    5936.   83.7  1  10    0.29  0.706   46.3    17.68  17.57 -17.04   8.69   8.49   1.14  215.4    4.8   0.187E+41  -1.008   8.98   9.05   73.3  11.85
243819  210.762    8.767    7034.   98.4  2   6    0.57  0.845   32.6    15.88  15.81 -19.15   9.53   9.58   2.16    0.0    0.0   0.000E+00  -9.990  15.05   9.69  154.1  12.78
242169  210.777    8.241    5515.   78.8  0   6    1.09  0.682   47.5    16.72  16.60 -17.88   9.02   8.81   2.01   70.7   42.5   0.339E+42   0.251  10.73   9.06  118.1  12.31
243861  210.783    9.299    5821.   83.7  1   5    0.09  0.223   79.1    17.67  17.21 -17.40   8.83   8.72   1.02   72.7   45.1   0.611E+41  -0.494   6.55   9.11  148.7  12.32
243842  210.800   11.720    5566.   79.5  0   3    2.39  0.825   35.2    14.99  14.89 -19.61   9.72   9.78   1.20   83.8   11.8   0.148E+42  -0.111   4.71   9.31  414.4  13.05
240019  210.803    8.895    5675.   83.7  1   0    0.45  0.563   57.5    13.73  13.38 -21.24  10.37  10.74   2.14  471.7   -1.5   0.000E+00  -9.990  15.28   9.04  284.5  13.25
242248  210.807    9.751    7470.   98.4  2   6    0.43  0.771   39.9    16.49  16.41 -18.56   9.30   9.57   2.28   76.6   68.3   0.139E+43   0.863  17.11   9.55  102.9  12.49
249101  210.824   10.061    4269.   61.0  0   3    0.74  0.465   64.6    16.28  16.04 -17.88   9.02   8.99   1.00   82.4   75.7   0.101E+42  -0.275   3.14   8.69   94.1  11.47
243820  210.828    8.789    7354.   98.4  2   6    0.56  0.374   69.1    18.46  18.16 -16.81   8.60   8.66   1.18    0.0    0.0   0.000E+00  -9.990   5.32   9.44  137.0  12.23
