# AGC ra dec z zerr petroR90_r petroR50_r expAB_r petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z lnLExp_r lnLDeV_r isoA_r isoPhi_r sigma sigmaErr ew ewErr chisq nu zWarning objID sepagc
# sepagc is separation between AGC position and DR7 position in arcsec
232563 209.51458740 12.15076542 0.000000 0.0000E+00   9.57   3.71 0.221 17.953743 17.178709 16.721842 16.234209 16.421026 -.164726E+04 -.102087E+04    41.02   82.75     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017704553742360    0.00
232226 209.54232788  9.79490566 0.000000 0.0000E+00   7.84   2.99 0.311 17.848818 16.561853 15.936940 15.622207 15.361473 -.110091E+04 -.303410E+04    38.73   42.57     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017992302592111    0.00
  8886 209.55357361  6.51818323 0.017048 0.1780E-03  15.66   5.49 0.769 15.583540 13.768255 12.947471 12.528046 12.247646 -.442738E+05 -.985966E+04   154.44   61.73     2.486830     0.175781     1.17321897    0.07086300   20.23310089    22     0 588017724948021351    0.80
233921 209.55972290  8.27358055 0.000000 0.0000E+00  15.22   6.94 0.356 17.507296 16.122408 15.672724 15.340006 14.962642 -.961600E+03 -.170486E+04    51.47   59.13     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736541478977544    0.00
231119 209.58396912  7.22508764 0.024730 0.2007E-03  20.72  10.94 0.532 16.579403 14.930415 14.331347 14.011253 14.086032 -.924379E+04 -.137539E+05    76.69  177.20     2.624785     6.310764     0.00000000    0.00000000   17.90417862    47     0 587736525370884319    2.44
  8890 209.59306335  6.33909559 0.000000 0.0000E+00  20.25   7.39 0.631 15.930853 14.213545 13.437474 13.024493 12.827909 -.235014E+05 -.193348E+05   102.12   46.06     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736524297207832    0.00
232635 209.59513855  9.53429699 0.055368 0.1578E-03   8.48   3.99 0.865 17.976580 16.641405 16.134081 15.819879 15.666446 -.656319E+03 -.288701E+04    27.61  175.50     1.871642     0.048828     8.34584904    0.19718200   35.31833649     7     0 587736543089524928    0.68
  8891 209.60325623  6.07125950 0.017450 0.1140E-03  32.11  13.66 0.152 16.202097 14.544513 13.850441 13.487702 13.256685 -.367442E+04 -.164285E+05   169.37   21.13     2.126058     0.034180    11.68757153    0.17662400   20.30980873     7     0 588017724411215908    3.73
233568 209.60612488 10.33983040 0.022444 0.6666E-04  13.35   6.42 0.599 18.397987 17.005798 16.531590 16.421070 16.405655 -.946467E+02 -.101513E+04    45.00   74.91     1.704749     0.073242    12.51052284    0.46351799    4.88757801     6     0 587736476513993036    0.58
232636 209.60765076  9.06044579 0.055511 0.1553E-03   9.84   5.10 0.790 17.319109 16.059958 15.488412 15.166475 15.034277 -.236511E+04 -.613335E+04    37.78  163.90     2.076362     0.043945     9.76097202    0.17669800   18.75471497     7     0 588017991228850270    0.67
  8896 209.66090393  7.21650600 0.014687 0.1146E-03  26.59  10.15 0.157 16.230434 14.950820 14.380401 14.093820 13.940226 -.134685E+04 -.878467E+04   133.83   70.11     1.618525     0.014648    17.31250954    0.21052600   74.52552032     7     0 587736525370949664    2.43
238647 209.68441772  6.62769938 0.024467 0.1880E-03   5.29   3.02 0.371 19.004942 17.821789 17.287048 17.040632 16.969196 -.498526E+03 -.609838E+03    57.81   46.76     1.645352     0.063477     6.70500803    0.22707900   14.49615765     6     0 587736524834078854    0.66
231120 209.74111938  7.25403261 0.024642 0.7659E-04  17.13   7.56 0.302 16.968369 15.795041 15.624654 15.559403 15.911363 -.744662E+03 -.382262E+04    70.97  135.08     1.557980     0.014648    48.61304092    0.46361101  212.94606018     6     0 588017726021828738    2.55
233569 209.79492188 10.21284485 0.022353 0.1222E-03  10.09   4.64 0.582 19.731640 18.042519 17.625277 17.600899 18.049953 -.159802E+01 -.143103E+03    26.44   10.65     1.575931     0.068359    13.01259041    0.48655400    8.34872913     6     0 588017992839528812    0.81
230898 209.83460999 10.13932419 0.022150 0.8007E-04  13.44   5.99 0.914 15.976336 14.745037 14.241928 13.983738 13.876143 -.721853E+04 -.130262E+05    54.31   74.80     1.738635     0.014648    14.37353897    0.16638300   73.08371735     7     0 587736543626526740    0.57
238625 209.93786621  8.14116764 0.015399 0.1060E-03  11.12   3.93 0.341 17.407642 16.112961 15.467205 15.150288 14.930242 -.180789E+04 -.206148E+04    51.25  156.32     1.586184     0.009766    34.56145477    0.31086501  150.97619629     6     0 588017990155305008    0.01
233570 209.95053101 11.32602501 0.016803 0.8580E-04  12.43   5.51 0.594 17.315367 16.407988 16.073271 15.899588 16.054155 -.502268E+03 -.189434E+04    42.99  144.16     1.701333     0.024414    32.61560440    0.48110899   26.41987801     6     0 588017703480197321    0.49
233924 209.95201111 10.68717861 0.038330 0.1008E-03   7.23   2.75 0.481 17.544888 16.190130 15.542297 15.165752 14.892719 -.138900E+04 -.289540E+04    35.41  133.06     2.325011     0.014648    45.76353455    0.42742601  249.02818298     6     0 587736477050994783    0.27
238649 209.96038818  9.10730076 0.055564 0.8666E-04  11.61   4.62 0.226 18.933708 17.201546 16.867655 16.532864 16.493183 -.100509E+03 -.552486E+03    53.10   26.78     1.767889     0.043945    12.18812180    0.29471499   29.30048180     7     0 587736542552850591    0.30
230912 209.97952271 12.05534935 0.038879 0.7919E-04   8.91   4.03 0.689 17.062658 15.964815 15.606477 15.366582 15.365060 -.579704E+03 -.569990E+04    33.68   64.70     1.819193     0.034180    22.98676491    0.41434199    8.29058647     7     0 588017704553939173    0.34
243884 209.99938965  7.76396751 0.015131 0.1130E-02  13.94   7.33 0.470 18.782362 17.884668 17.303560 17.433903 16.947073 -.491390E+03 -.138242E+03    31.73  174.05     7.525573     5.691949     3.20507312    1.19132400   86.52614594    17    16 588017726558830607    5.40
230914 210.01850891 12.11150742 0.039588 0.1862E-03  20.93   7.88 0.460 16.539059 14.763991 13.989220 13.586456 13.356993 -.219270E+05 -.769341E+04   107.39  114.86     6.589813     1.525181    -1.37513602    0.28563601   14.27146053    21     0 588017704553939028    0.73
243859 210.02085876  9.31148624 0.000000 0.0000E+00   7.82   3.98 0.710 19.929062 19.260384 18.923817 21.912266 29.152201 -.229513E+01 -.216285E+02    18.91  144.96     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017991765918162    0.00
249086 210.02171326  8.17022800 0.023411 0.8565E-04   6.88   3.41 0.303 18.528444 17.674923 17.356716 17.235191 17.075066 -.100997E+03 -.598040E+03    27.45    6.05     1.536625     0.014648    45.64216232    0.56838799   44.62110901     7     0 588017990155305201    0.84
242402 210.04550171  9.90742493 0.000000 0.0000E+00   9.35   4.67 0.590 17.675383 16.322250 15.758001 15.468818 15.461084 -.340161E+04 -.463802E+04    32.00   98.80     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017992302788788    0.00
  8918 210.06040955  8.96705246 0.013637 0.1090E-03  22.32   9.10 0.279 16.674572 14.863090 14.206682 13.776352 13.579172 -.492247E+04 -.740932E+04    90.70   31.49     1.684824     0.024414    10.02757454    0.17116600  164.39126587     6     0 588017991229046981    0.39
230917 210.06726074  9.28927898 0.019317 0.1074E-03  13.91   6.34 0.252 17.236767 15.845086 15.206277 14.853183 14.611916 -.974740E+03 -.780534E+04    63.84   56.66     1.590348     0.024414    11.73089123    0.18202899   40.75399780     6     0 588017991765917815    2.54
243818 210.08837891  9.95836163 0.022907 0.7268E-04  11.45   5.34 0.268 17.663086 16.791704 16.486225 16.330999 16.560400 -.808243E+02 -.732901E+03    41.94   73.89     1.592300     0.014648    37.77783966    0.44477600   53.29410553     6 65536 587736543626592360    0.19
230925 210.12939453  8.64981461 0.000000 0.0000E+00  18.33   7.22 0.158 17.192163 16.206755 15.915133 15.738004 15.817709 -.992493E+03 -.260903E+04    50.18  161.30     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736542016045176    0.00
243904 210.13029480 12.08107567 0.038730 0.1057E-03   6.11   1.93 0.565 18.611153 17.292688 16.709520 16.377281 16.140545 -.339566E+04 -.224458E+04    35.07   43.81     2.529705     0.024704    38.83404160    0.42668399  203.28945923    32     0 588017704554004512    0.45
242246 210.13711548  8.99492455 0.014035 0.2826E-03  12.67   6.11 0.483 18.855959 18.115026 17.646683 17.558069 17.116405 -.365192E+01 -.603974E+02    30.66   29.13     1.681712     0.156250     9.28371716    0.68523997   16.21131516     7     0 588017991229112676    1.73
249087 210.16102600  7.21519184 0.036564 0.8571E-04  12.60   5.89 0.874 17.651579 16.232155 15.846457 15.689073 15.585898 -.982667E+03 -.187572E+04    36.34  145.62     1.637983     0.024414    16.17758369    0.23405300   46.70887375     7     0 587736525371146336    0.77
249088 210.16958618  8.89386368 0.017768 0.2251E-03   9.47   3.95 0.220 18.420393 17.680403 17.365017 17.100569 17.126312 -.356746E+01 -.340989E+03    37.83   49.72     1.713807     0.063477     9.12282944    0.32189000  158.01831055    17     0 588017991229112501    0.09
243828 210.19665527  9.56034946 0.016729 0.2809E-03  13.93   6.15 0.686 18.373304 17.690994 17.381868 17.301081 17.355658 -.695975E+00 -.632111E+02    28.79  117.72     1.773848     0.161133     7.69785500    0.57880801    4.87693501     6  4096 587736543089787300    1.54
231599 210.21867371  6.48636818 0.014524 0.9433E-04  17.47   6.09 0.454 16.674051 15.673240 15.297699 15.098768 15.085467 -.185479E+04 -.414731E+04    78.91  156.54     1.677099     0.014648    26.43727303    0.28445399  144.40109253     6     0 588017724948349080    1.20
249089 210.22018433  7.84004736 0.017567 0.9957E-04  12.76   5.17 0.437 17.670904 16.359026 16.036932 15.781856 15.862301 -.365169E+03 -.251889E+04    51.82  108.00     1.562711     0.014648    27.35569000    0.34223500   99.50984955     7     0 588017726558896349    3.74
249091 210.22587585  7.42217064 0.023813 0.9573E-04  13.18   5.53 0.136 18.550871 16.996038 16.596649 16.373631 16.469591 -.144372E+03 -.145738E+04    59.33  152.47     1.494208     0.034180    13.18096924    0.26194799   14.31384754     6     0 587736525908082889    1.82
