#  AGC    V21 eV21  Wid eWid   Flux  eFlx   SNR   rms   Code
240190   8554   3   185   7    0.96  0.06    8.7  1.81   1
  9111   7453   3   367   6    4.04  0.10   22.8  2.06   1
244013  17569   5   145  11    1.17  0.08    9.2  2.34   1
241082   8498   3   225   7    1.18  0.08    8.2  2.14   1
243830   1218   2    22   4    0.50  0.04   10.5  2.11   1
244019   7154   7   316  13    0.97  0.11    4.8  2.55   2
244022   7226  22   132  44    0.55  0.07    4.7  2.28   2
249128   8806   2   146   4    0.83  0.05    9.1  1.69   1
249129  17425   6   191  13    1.12  0.07   10.1  1.79   1
240211  10981   3    47   6    1.76  0.05   28.1  1.99   1
241199   7460   2   302   4    1.61  0.07   12.2  1.70   1
244026  16089   3   209   6    1.15  0.08    8.2  2.17   1
249130   4888   4    75   8    0.77  0.06    8.8  2.26   1
713955   7329   5   109   9    0.51  0.06    4.9  2.25   2
243887  13045   5   237   9    1.52  0.08   10.9  2.02   1
240222   7339  57   258 113    0.63  0.09    4.0  2.21   2
249131   9821   7   105  15    0.89  0.06    9.7  1.98   1
244036   6159  37   142  73    0.46  0.06    4.4  1.97   2
244038  16937  41   380  81    1.11  0.10    6.0  2.14   2
  9134  11148   4   302   8    3.65  0.08   25.6  1.84   1
