# agcnum   radeg      decdeg    vhel    sepmin    
  8413     200.8642   6.3925    6948    335.9821  
  230295   200.8779   13.7728   7229    147.9767  
  231356   200.9033   6.4067    11828   334.5488  
  230297   200.9037   13.9733   6469    156.9634  
  233630   200.9112   12.01     11631   87.249    
  233631   200.9367   14.6928   6526    193.5652  
  715822   200.9421   7.53      12388   269.2936  
  735323   200.9621   8.6122    13428   208.1606  
  8417     200.9679   13.7344   6430    143.0315  
  238752   200.9917   7.1828    12411   288.2983  
  8421     201.0029   9.71      6985    148.8051  
  713360   201.04     10.565    13453   107.7552  
  230302   201.0413   9.6617    7220    150.0465  
  713361   201.0437   8.6017    13477   206.8547  
  8425     201.0529   15.5942   8472    241.078   
  231933   201.0625   13.7786   6877    142.1223  
  231415   201.0646   7.2544    12340   282.9604  
  233632   201.0717   14.6483   13352   187.8286  
  232368   201.0775   11.98     11759   77.3327   
  715826   201.0804   6.7742    6885    310.5458  
  230305   201.1004   13.9375   6782    149.0818  
  233799   201.1025   9.74      6945    144.1467  
  231935   201.1033   13.8125   6403    142.5657  
  232369   201.1321   11.7703   6916    73.3075   
  8427     201.1462   6.5292    6941    323.9124  
  233800   201.1496   8.7769    13332   194.7504  
  238753   201.1542   6.8089    12119   307.4677  
  715830   201.2021   6.7086    12031   312.6749  
  230310   201.205    16.145    7114    270.1839  
  230312   201.215    13.5808   6759    127.3321  
  232496   201.2225   12.19     13936   72.0781   
  715833   201.2429   6.3264    7075    334.5816  
  232497   201.25     12.4136   13925   76.1646   
  233585   201.28     15.8403   8489    251.4026  
  231943   201.3142   13.2758   6478    108.9007  
  715835   201.3483   7.9086    16292   240.6529  
  8438     201.3717   16.1786   11195   269.8593  
  230320   201.38     11.825    11831   58.7711   
  232372   201.4179   11.5606   12833   58.1636   
  231944   201.4417   13.9106   6705    138.6438  
  238755   201.4604   6.5917    12005   316.5345  
  230324   201.4729   13.2978   6654    104.9834  
  715840   201.5037   6.2231    11757   337.9433  
  232595   201.5192   13.7358   11686   127.2294  
  232613   201.5325   14.1833   11522   151.9858  
  232614   201.5583   14.2556   11575   155.6137  
  231945   201.5721   13.8106   7028    130.1998  
  232285   201.5933   10.9686   17675   67.5411   
  715845   201.6571   6.2961    11847   332.3201  
  233767   201.6825   13.0158   13720   84.2166   
  233801   201.7071   10.5583   12177   83.7724   
  8450     201.755    10.0561   1049    110.2782  
  713414   201.8408   8.9761    13502   171.7234  
  232218   201.855    11.8836   7068    31.3534   
  239079   201.885    17.3989   55      337.8404  
  232380   201.89     11.7303   4228    28.9954   
  8456     201.8954   15.1894   7111    205.9989  
  715853   202.02     6.2658    9661    332.0521  
  713424   202.0471   8.1486    10806   219.2841  
  233633   202.0562   16.0892   4404    258.7208  
  232504   202.0842   12.7622   7414    60.9372   
  233634   202.0946   13.2556   7430    89.5903   
  232385   202.1171   11.9975   13740   19.8843   
  232596   202.1267   13.1078   7353    80.5297   
  232507   202.1492   12.0656   7040    21.4419   
  230351   202.1671   12.7108   7480    56.7243   
  233559   202.1971   10.9614   1092    50.7864   
  233820   202.205    10.3817   6877    85.0432   
  232391   202.2175   11.0969   4262    42.5863   
  232392   202.2179   11.7558   7151    9.7227    
  8469     202.2275   10.0381   6874    105.4169  
  715857   202.2287   6.1325    16294   339.485   
  230356   202.2675   12.2378   7258    27.747    
  715858   202.2763   6.5197    10008   316.1931  
  232509   202.2917   12.7689   7127    59.0442   
  232510   202.3175   12.7014   13796   54.8891   
  232401   202.3379   11.3367   14295   27.2293   
  233802   202.3417   9.0608    6802    163.6823  
  8475     202.3575   11.0078   6835    46.8687   
  230366   202.3783   11.7456   7709    2.5852    
  232513   202.3833   13.0094   7871    73.2502   
  233635   202.3875   14.9475   7065    189.5338  
  230367   202.3979   11.6972   6549    5.5833    
  735333   202.4246   10.61     8005    70.7653   
  230369   202.4288   12.19     12198   24.2527   
  230371   202.435    9.9333    6437    111.3638  
  230372   202.4371   10.0183   7153    106.2699  
  239060   202.4567   16.7414   6599    297.2     
  232407   202.4608   11.35     6740    26.7421   
  8486     202.4867   11.0719   6752    43.4551   
  713446   202.4896   10.0397   7221    105.1317  
  8488     202.5096   13.4158   7363    97.9276   
  230378   202.5158   12.1753   13411   24.5315   
  233873   202.5575   11.5439   6681    18.0106   
  233636   202.5633   12.8422   7710    64.1235   
  231375   202.565    7.4856    6986    258.4151  
  233637   202.5887   12.4836   7197    43.4605   
  230380   202.6663   11.5947   7244    20.4498   
  232408   202.7004   11.0653   16733   47.3141   
  232525   202.7179   12.0969   14071   27.1235   
  232526   202.7492   12.5961   14140   53.067    
  232280   202.7504   11.4883   11096   28.2562   
  232292   202.7658   11.0267   7335    51.0386   
  233638   202.8267   16.1667   7587    263.9667  
  230389   202.8412   10.7258   6304    69.3026   
  743043   202.8842   16.1608   7487    263.9696  
  232530   202.9179   12.6244   14042   59.2457   
  233639   202.9221   14.2378   13286   150.3273  
  233803   202.9383   9.5831    7047    136.3655  
  233641   202.9517   14.2761   7000    152.9444  
  230396   202.9637   14.1375   7575    145.0068  
  232412   202.9771   11.8067   6965    35.084    
  238696   202.9842   6.0347    11334   347.0841  
  230400   203.0204   13.1631   13261   90.5992   
  230402   203.0304   14.4339   8326    163.2031  
  231380   203.0525   6.1461    6981    340.886   
  8518     203.0583   13.8919   7650    132.291   
  230403   203.06     10.4081   7292    92.0011   
  232413   203.0704   11.1978   9546    53.8938   
  238611   203.0788   10.4547   11962   89.9864   
  735361   203.1129   10.0975   7082    110.2697  
  8519     203.1163   7.3167    6706    271.828   
  230407   203.1238   12.8175   7521    75.5773   
  230408   203.1346   13.9331   6880    136.0261  
  233804   203.2046   10.1308   7227    110.6919  
  8523     203.205    7.17      6867    281.3824  
  233806   203.2167   9.9894    7138    118.6721  
  8527     203.2258   9.52      6977    144.9652  
  231389   203.2333   7.2878    7560    274.7272  
  232414   203.2688   11.0758   8205    67.5335   
  230413   203.2708   14.205    13213   154.052   
  238678   203.3037   8.0567    6990    230.4738  
  238756   203.3037   6.4811    8033    323.1138  
  233807   203.3108   10.2842   7180    105.6068  
  230417   203.3283   11.1169   7612    68.804    
  233808   203.3321   11.2769   12457   63.8377   
  713493   203.3396   8.7758    16241   189.4333  
  230418   203.3421   9.5272    7129    147.0635  
  238757   203.3575   6.3542    6121    331.1662  
  232538   203.3696   12.8808   12705   87.5153   
  233825   203.3875   10.1561   7168    114.5239  
  238789   203.4092   8.0231    7380    233.9758  
  233809   203.4508   8.2744    13598   220.1342  
  713506   203.4629   10.5642   17089   97.2639   
  233876   203.4863   11.4869   11251   67.4826   
  233824   203.4971   8.2864    7479    220.2506  
  233739   203.5171   13.5836   13104   126.6054  
  230427   203.5392   13.2808   13182   112.3619  
  713520   203.5413   10.6081   12342   98.4309   
  230426   203.5425   13.1631   12999   106.9506  
  230430   203.5667   10.6506   11804   97.6721   
  230431   203.5913   10.5642   9714    102.3733  
  238612   203.6067   8.8544    7078    190.3559  
  238698   203.6367   5.9458    7217    358.3879  
  230435   203.6479   8.6931    7712    200.2492  
  230436   203.6583   8.7936    1231    194.8991  
  233642   203.6742   13.4344   13114   124.4712  
  8555     203.6792   9.3369    7069    165.8596  
  238758   203.6825   6.2706    6763    339.9532  
  230438   203.6933   11.4814   16395   79.3509   
  238792   203.7017   6.5372    9722    324.6566  
  233643   203.7313   15.8275   6548    254.7962  
  8559     203.7329   13.8322   7025    145.9431  
  233810   203.7358   10.8622   9660    97.2207   
  231050   203.74     13.7442   6806    141.7734  
  233811   203.7504   8.0453    7069    238.7527  
  233812   203.7696   9.5608    7187    156.7756  
  233645   203.7858   14.775    7722    197.0891  
  231408   203.7867   6.4808    6829    329.1798  
  735390   203.7917   8.1517    16049   233.6127  
  238759   203.7971   7.4875    6925    271.3324  
  8562     203.81     10.6858   11818   107.0499  
  713535   203.8721   8.0733    7110    239.7186  
  8573     203.8829   13.6758   6857    143.3787  
  8576     203.9058   13.3256   12781   128.4075  
  8572     203.9075   7.5447    6804    270.1792  
  8569     203.9083   6.1933    6911    347.7096  
  8575     203.9396   8.9683    1163    192.625   
  233884   203.9408   10.9994   17267   103.2943  
  230456   203.9558   13.4175   12718   134.4065  
  230459   203.9854   13.3431   12725   132.4282  
  233833   204.0      8.5881    16333   214.5376  
  8582     204.0058   6.585     6617    326.7198  
  231022   204.0108   8.1847    1245    236.7279  
  713548   204.0458   9.4781    6685    169.9046  
  8585     204.0558   10.4778   16141   126.1691  
  230466   204.0604   9.2692    10066   180.7643  
  233596   204.1017   7.8       6960    260.0576  
  8589     204.1088   7.3694    7045    284.1826  
  8591     204.1183   16.0903   7788    277.231   
  233648   204.1246   15.8806   7830    265.7132  
  231092   204.1488   8.1933    6967    239.6939  
  735413   204.1692   8.2431    7265    237.5437  
  232025   204.1817   8.5464    1166    221.7233  
  238760   204.1825   6.9964    7120    306.6809  
  8596     204.1963   6.4961    6754    335.2683  
  231420   204.2221   15.9678   6501    272.7314  
  230480   204.2575   9.0147    6854    199.934   
  233649   204.2663   12.0575   16495   111.9018  
  238761   204.315    6.7708    6752    322.1191  
  8613     204.3496   6.4361    7177    341.6746  
  231093   204.3508   6.5097    11519   337.5486  
  8614     204.3592   7.645     1046    274.7789  
  233650   204.3733   16.055    4491    281.0624  
  238762   204.3742   7.3069    6794    293.6352  
  8616     204.3838   8.885     1151    210.5629  
  8618     204.4067   15.9719   7669    277.361   
  233653   204.4308   12.5978   9706    129.7015  
  238763   204.4592   7.0347    7919    310.6364  
  233813   204.5042   10.24     7177    155.8292  
  233654   204.5525   15.8633   4518    275.2901  
  8623     204.5567   6.4653    7135    344.4277  
  230495   204.5613   11.2511   16991   132.2305  
  8626     204.5979   6.8872    7087    322.05    
  8629     204.6275   8.4422    1021    240.6903  
  233656   204.6554   14.6539   9559    217.2895  
  230503   204.6642   12.4572   10753   139.8683  
  233657   204.6771   14.5786   12835   214.5366  
  233601   204.7117   8.1081    1188    260.2843  
  8633     204.7229   14.7433   7067    223.9308  
  233895   204.7246   10.67     7172    153.4367  
  233658   204.7996   15.4408   6891    260.6128  
  230516   204.8254   12.7239   6830    153.9683  
  233659   204.8871   15.2233   6419    252.6973  
  238764   204.9062   6.9961    7001    324.0891  
  735443   204.9187   9.2953    16764   211.6648  
  233660   204.9671   14.3736   12905   216.5907  
  8644     205.0054   7.3672    6984    307.3911  
  233902   205.015    10.9706   7212    162.5765  
  713568   205.0217   8.4828    13207   252.3479  
  233661   205.0408   14.9342   12875   244.4171  
  238614   205.1687   7.8931    6849    286.0058  
  232108   205.1925   7.9833    8614    282.4082  
  230548   205.2338   11.7006   10114   167.7224  
  232109   205.2342   14.155    12364   219.096   
  735466   205.2704   8.4822    13203   261.7089  
  233663   205.2821   15.3986   6553    274.8611  
  230553   205.2883   12.7711   14215   180.4072  
  233768   205.3308   15.2647   7794    270.4085  
  233664   205.3417   14.9394   6454    256.1657  
  8660     205.3538   13.8558   7168    213.653   
  233666   205.3971   14.3594   12560   234.2641  
  233814   205.4663   9.4333    11594   230.4168  
  233668   205.4671   14.8336   6392    256.6307  
  233815   205.4675   9.1208    6890    242.4908  
  233669   205.5075   14.7094   4537    253.1133  
  735476   205.5117   8.9322    11684   252.0488  
  232421   205.5242   11.8978   16998   184.7483  
  233722   205.5337   12.9347   12243   197.2102  
  233670   205.5908   14.3392   12905   242.1354  
  238794   205.5946   7.7547    16428   307.7216  
  230591   205.5996   14.7389   12707   258.2192  
  233672   205.6267   12.8603   10674   200.8753  
  233673   205.6308   13.0356   12289   204.6511  
