# agcnum   radeg      decdeg   distMpc   Vcmb      logL_V   logMH   gas2L_V   AbsMag_i   logL_i    gas2L_i   sepmin  
  233793   198.6471   9.224    195.6     13694.0   9.09     9.69    0.6049    -18.24     9.1299    0.5601    268.64  
  232577   198.6683   13.326   124.5     8714.0    9.35     9.39    0.0355    -18.65     9.2905    0.0995    236.14  
  232643   198.7346   7.07     200.9     14062.0   10.4     10.03   -0.3663   -21.41     10.3962   -0.3662   355.91  
  230192   198.7504   10.029   191.6     13415.0   10.31    10.36   0.0467    -21.26     10.3378   0.0222    238.48  
  233621   198.7637   16.085   97.5      6828.0    10.0     9.75    -0.2544   -20.51     10.0362   -0.2862   332.83  
  238740   198.7683   7.163    58.5      4270.0    8.88     9.14    0.2613    -17.5      8.8317    0.3083    350.25  
  238741   198.7954   7.054    200.0     14003.0   10.12    10.16   0.0423    -20.8      10.1502   0.0098    354.55  
  713262   198.8058   9.541    193.8     13567.0   10.37    10.16   -0.2127   -21.53     10.4429   -0.2829   250.18  
  232262   198.8096   15.229   126.6     8860.0    10.11    9.42    -0.6885   -20.66     10.0948   -0.6748   293.21  
  230199   198.835    13.091   111.7     7822.0    10.34    9.99    -0.3548   -21.6      10.4715   -0.4815   221.91  
  232478   198.8596   12.677   114.8     8038.0    9.43     9.58    0.1469    -19.05     9.45      0.13      213.19  
  230201   198.8479   12.895   113.5     7943.0    10.09    9.95    -0.1366   -20.85     10.1713   -0.2213   217.41  
  232343   198.8446   11.766   99.4      6955.0    10.01    9.25    -0.7607   -20.4      9.9902    -0.7402   207.66  
  233794   198.8608   11.586   60.4      4376.0    8.87     8.8     -0.0728   -17.58     8.8657    -0.0657   207.13  
  231318   198.9646   8.039    107.0     7489.0    10.24    10.1    -0.1449   -20.8      10.1536   -0.0536   302.23  
  233599   198.9733   8.029    109.4     7660.0    8.85     9.26    0.4136    -17.37     8.7802    0.4798    302.36  
  231319   198.9908   7.329    197.5     13825.0   10.55    10.06   -0.4896   -21.9      10.5929   -0.5329   334.32  
  232650   199.0137   7.081    94.3      6598.0    9.8      9.69    -0.1092   -20.01     9.8358    -0.1458   345.64  
  238743   199.02     7.753    214.7     15028.0   10.31    10.31   -0.0037   -21.22     10.3205   -0.0105   313.19  
  230208   199.0146   13.403   134.0     9378.0    10.27    9.6     -0.6679   -21.09     10.2682   -0.6682   219.58  
  238744   199.0846   7.025    94.9      6641.0    8.74     9.95    1.2124    -17.17     8.7001    1.2499    346.0   
  232480   199.0996   12.522   51.9      3764.0    8.42     8.51    0.0892    -16.53     8.4437    0.0663    197.38  
  232481   199.1142   12.95    114.0     7980.0    10.25    9.52    -0.7258   -21.09     10.2677   -0.7477   203.69  
  238745   199.1296   8.037    211.0     14773.0   10.0     9.92    -0.0768   -20.47     10.0199   -0.0999   295.92  
  232482   199.1492   12.153   51.1      3709.0    8.74     8.38    -0.3558   -17.12     8.6781    -0.2981   190.89  
  735239   199.1804   8.795    192.2     13453.0   10.14    9.87    -0.269    -20.54     10.0465   -0.1765   260.64  
  232664   199.1921   7.69     214.9     15042.0   11.01    9.97    -1.0399   -23.05     11.0514   -1.0814   309.82  
  8345     199.2171   12.548   16.7      1261.0    8.73     8.98    0.2541    -17.24     8.7267    0.2533    191.03  
  232668   199.2404   7.219    186.2     13033.0   10.03    10.08   0.0542    -20.44     10.0086   0.0714    331.16  
  8344     199.2433   7.844    212.9     14905.0   11.28    10.2    -1.0775   -23.56     11.2562   -1.0562   300.63  
  8350     199.2663   8.399    106.8     7479.0    9.93     9.85    -0.078    -20.05     9.8523    -0.0023   274.2   
  713296   199.2817   9.676    97.6      6834.0    9.2      9.24    0.044     -18.34     9.1689    0.0711    222.3   
  713298   199.3158   9.757    192.9     13506.0   10.05    9.92    -0.1306   -20.26     9.9354    -0.0154   217.9   
  238746   199.4733   8.052    104.2     7295.0    8.98     9.36    0.3778    -17.64     8.8861    0.4739    282.4   
  238747   199.5375   8.085    198.1     13868.0   9.59     9.93    0.3394    -19.26     9.5365    0.3935    278.55  
  233624   199.5825   13.901   127.1     8896.0    8.43     9.39    0.9604    -15.05     7.8521    1.5379    207.0   
  238748   199.5825   8.07     216.6     15165.0   10.63    10.01   -0.6221   -21.95     10.6133   -0.6033   277.67  
  232584   199.6487   14.047   125.9     8813.0    9.95     9.46    -0.4948   -20.46     10.0165   -0.5565   209.45  
  231647   199.6517   8.001    191.1     13379.0   10.46    10.16   -0.2999   -21.68     10.5021   -0.3421   278.65  
  230229   199.6638   8.686    105.5     7387.0    9.89     9.61    -0.2818   -20.04     9.8479    -0.2379   245.72  
  230233   199.7029   12.397   161.8     11328.0   10.42    10.23   -0.1918   -21.61     10.4763   -0.2463   161.25  
  232585   199.6921   13.615   238.4     16691.0   10.05    10.01   -0.0355   -20.61     10.0746   -0.0646   191.72  
  713305   199.7354   10.426   212.7     14892.0   9.95     9.92    -0.0252   -20.17     9.9017    0.0183    175.87  
  231337   199.7296   7.795    217.2     15205.0   11.0     10.31   -0.6898   -23.07     11.058    -0.748    286.28  
  230234   199.7579   14.791   98.4      6890.0    10.18    9.52    -0.6615   -20.96     10.2176   -0.6976   236.41  
  233795   199.7808   9.4      141.9     9931.0    9.68     9.68    0.0011    -19.64     9.6877    -0.0077   209.85  
  735291   199.7908   8.589    106.5     7453.0    9.42     9.41    -0.0119   -19.0      9.4316    -0.0216   245.4   
  232673   199.7975   7.431    98.7      6912.0    10.33    9.56    -0.7746   -21.31     10.3563   -0.7963   302.81  
  233625   199.8054   15.881   119.4     8358.0    9.53     9.72    0.1869    -19.09     9.4663    0.2537    287.7   
  230238   199.8346   8.762    199.2     13945.0   10.74    9.97    -0.7682   -22.26     10.7348   -0.7648   235.7   
  230239   199.8683   14.578   99.9      6994.0    9.93     9.71    -0.2244   -20.1      9.8711    -0.1611   222.54  
  231341   199.8754   7.48     181.9     12730.0   10.42    10.04   -0.3778   -21.5      10.4317   -0.3917   297.93  
  233626   199.9242   15.753   125.5     8782.0    10.31    9.83    -0.4824   -21.15     10.2938   -0.4638   277.58  
  713315   199.9358   10.242   211.4     14795.0   10.44    10.2    -0.2394   -21.57     10.4581   -0.2581   171.27  
